hate_speech,normal,offensive,f1_scores,macro_f1_scores,word_f1_scores,word_precision,word_recall
0.52,0.77,0.5,0.7183432029369876,0.5454102619221335,0.48616780045351465,0.695201037613489,0.3737796373779637
0.62,0.76,0.44,0.7041753248644954,0.4934805838750346,0.4982562547384382,0.71652856519843,0.3819153881915388
0.49,0.73,0.3,0.6248749469153193,0.43950826535910087,0.4108792336640438,0.7778497409326425,0.2791724779172478
0.63,0.74,0.44,0.7210102592889736,0.5053355385789922,0.4664723032069971,0.6862302483069977,0.35332403533240353
0.6,0.76,0.41,0.6904774315886306,0.4903575306030402,0.4558033534103858,0.7604562737642585,0.32543003254300323
