hate_speech,normal,offensive,f1_scores,macro_f1_scores,word_f1_scores,word_precision,word_recall
0.48,0.73,0.37,0.6708693678504093,0.47286481365625804,0.39736705352503027,0.7797416723317471,0.26662017666201765
0.49,0.74,0.37,0.6684894957956914,0.47036687355879897,0.4294560669456067,0.7668858338314405,0.298233379823338
0.54,0.75,0.49,0.7112175408377489,0.5353374948088366,0.49827093670124795,0.7054065559812687,0.38516968851696887
0.5,0.75,0.41,0.6939976948960387,0.4843680582626321,0.4556231976930471,0.7329896907216494,0.3305439330543933
0.77,0.73,0.47,0.7163883892004972,0.5087114429695585,0.47454572758672475,0.6703436571913449,0.36727103672710365
